
> mana-meeples-singles-market@ count:lines C:\Git_Repos\mana_meeples_singles_market
> tsx scripts/line-lengths.ts --dir ./ --csv --ext ts,tsx

file,lines,chars,longestLine,avgLine
apps\web\src\features\admin\components\Cards\CardsTab.tsx,810,27064,179,33.41
apps\web\src\features\shop\components\Cart\Checkout.tsx,676,25834,189,38.22
apps\api\src\routes\orders.ts,624,17172,142,27.52
apps\web\src\features\admin\components\Orders\OrdersTab.tsx,570,24441,250,42.88
apps\api\src\routes\pricing.ts,551,15369,125,27.89
apps\web\src\shared\search\SearchBar.tsx,548,20355,192,37.14
scripts\deps-graph.ts,528,19376,174,36.7
apps\web\src\shared\card\CardItem.tsx,523,17261,167,33
apps\api\src\services\variationAnalysis.ts,515,13881,90,26.95
scripts\export-database-schema.ts,510,15649,182,30.68
apps\web\src\features\admin\components\Cards\AddToInventoryModal.tsx,481,19142,189,39.8
apps\api\tests\setup\testEnv.ts,477,13843,106,29.02
apps\api\src\routes\cards.ts,467,15348,178,32.87
docs\samples\api_driven_variations.ts,452,13409,137,29.67
apps\api\src\services\cardImport.ts,449,12082,125,26.91
apps\web\src\shared\layout\CardList.tsx,445,17292,237,38.86
apps\web\src\features\shop\ShopPage.tsx,434,14540,241,33.5
apps\api\tests\e2e\checkout.flow.test.ts,418,12428,104,29.73
apps\api\src\routes\inventory.ts,411,12829,108,31.21
scripts\imports\import_mtg_with_variations.ts,410,12077,101,29.46
apps\web\src\features\admin\components\Cards\PriceRefreshButtons.tsx,401,14250,130,35.54
scripts\imports\import-pokemon-set.ts,386,13281,126,34.41
apps\web\src\features\admin\components\PriceManagementHeaderButtons.tsx,370,12254,139,33.12
scripts\imports\import-onepiece-set.ts,357,12807,126,35.87
apps\api\tests\integration\orders.routes.test.ts,355,8412,99,23.7
apps\web\src\lib\utils\csv.ts,348,9416,123,27.06
apps\api\src\routes\additional.ts,342,8559,90,25.03
apps\web\src\features\admin\components\Cards\BulkManager.tsx,337,12760,212,37.86
apps\web\src\features\admin\components\Cards\SingleCardPriceRefresh.tsx,297,8395,103,28.27
apps\web\src\types\models\card.ts,289,8781,107,30.38
apps\api\tests\integration\inventory.routes.test.ts,282,7154,99,25.37
apps\web\src\features\hooks\useShopFilters.ts,280,8209,119,29.32
apps\web\src\shared\layout\CardGrid.tsx,275,7748,86,28.17
apps\web\src\shared\ui\EmptyState.tsx,271,7281,135,26.87
apps\web\src\lib\api\client.ts,270,6624,87,24.53
apps\api\src\routes\storefront.ts,268,8218,116,30.66
apps\web\src\features\admin\components\Import\ImportSetModal.tsx,262,8492,199,32.41
apps\api\tests\unit\utils.test.ts,254,6893,80,27.14
apps\web\src\features\admin\components\Cards\ScryfallPriceFetcher.tsx,248,7385,158,29.78
apps\web\src\features\shop\components\ShopFilters.tsx,244,6836,103,28.02
apps\web\src\shared\search\FiltersPanel.tsx,243,8028,110,33.04
scripts\line-lengths.ts,230,7108,153,30.9
apps\web\src\lib\utils\errorLogger.ts,228,5441,99,23.86
apps\web\src\features\admin\components\Analytics\AnalyticsTab.tsx,225,8450,215,37.56
apps\web\src\features\admin\Dashboard.tsx,222,8260,131,37.21
apps\web\src\lib\constants\index.ts,222,6305,391,28.4
apps\web\src\features\hooks\useRecentlyViewed.tsx,216,6637,252,30.73
apps\api\tests\setup\db.ts,211,5930,112,28.1
apps\web\src\shared\card\CardRow.tsx,210,7317,118,34.84
apps\api\src\middleware\auth.ts,209,4998,158,23.91
apps\api\src\routes\auth.ts,204,5084,98,24.92
apps\web\src\features\shop\components\Cart\CartModal.tsx,200,7010,247,35.05
apps\web\src\shared\ui\Toast.tsx,191,4860,100,25.45
apps\api\src\routes\import.ts,190,4733,107,24.91
apps\web\src\lib\utils\sortCards.ts,186,4232,120,22.75
apps\web\src\features\hooks\useFilterCounts.ts,180,5936,119,32.98
apps\web\src\shared\ui\MobileFilterModal.tsx,179,5754,238,32.15
apps\web\src\features\admin\components\InstructionsTab.tsx,178,8669,198,48.7
apps\web\src\features\hooks\useCardDisplayArea.tsx,176,5586,152,31.74
apps\api\src\lib\authUtils.ts,175,5302,109,30.3
apps\api\src\lib\db.ts,175,4435,94,25.34
apps\web\src\features\hooks\useCardFetching.ts,173,4518,82,26.12
apps\web\src\features\shop\components\ShopCart.tsx,170,4798,122,28.22
apps\web\src\shared\ui\CurrencySelector.tsx,166,5131,182,30.91
apps\api\src\app.ts,163,5027,84,30.84
apps\web\src\features\shop\components\RecentlyViewedCards.tsx,163,5339,252,32.75
